Date,Day,Is_Weekend,Is_Holiday,Area_Name,Latitude,Longitude,Time,Traffic_Volume,Avg_Speed_kmph,Traffic_Score,Congestion_Level,Weather,Accident,Road_Work,Event_Name,Event_Impact_Level,Holiday_Traffic_Score,Final_Congestion_Score
01-01-2025,Wednesday,No,Yes,Nigdi,18.65,73.77,17:00,333,16,81.8,Severe,Cloudy,No,Yes,Local Fair,Low,98.16,81.8
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,20:00,239,17,81.6,Severe,Fog,No,No,Cricket Match,High,97.92,81.6
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,06:00,90,17,81.6,Severe,Fog,No,No,College Fest,Medium,97.92,81.6
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,00:00,314,18,81.4,Severe,Fog,No,Yes,College Fest,Medium,97.68,81.4
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,01:00,113,18,81.4,Severe,Fog,No,No,College Fest,Medium,97.68,81.4
01-01-2025,Wednesday,No,Yes,Swargate,18.5018,73.8636,22:00,277,18,81.4,Severe,Rain,No,Yes,College Fest,Medium,97.68,81.4
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,00:00,151,18,81.4,Severe,Cloudy,No,Yes,College Fest,Medium,97.68,81.4
01-01-2025,Wednesday,No,Yes,Baner,18.559,73.7868,14:00,122,20,81,Severe,Clear,Yes,Yes,None,None,97.2,81
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,07:00,220,15,81,Severe,Rain,No,Yes,Cricket Match,High,97.2,81
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,04:00,152,16,80.8,Severe,Rain,Yes,Yes,Local Fair,Low,96.96,80.8
01-01-2025,Wednesday,No,Yes,Nigdi,18.65,73.77,01:00,111,17,80.6,Severe,Clear,Yes,Yes,Pune Festival,High,96.72,80.6
01-01-2025,Wednesday,No,Yes,Swargate,18.5018,73.8636,08:00,140,17,80.6,Severe,Cloudy,No,Yes,College Fest,Medium,96.72,80.6
01-01-2025,Wednesday,No,Yes,Chinchwad,18.6298,73.7997,20:00,307,18,80.4,Severe,Fog,No,No,None,None,96.48,80.4
01-01-2025,Wednesday,No,Yes,Bibwewadi,18.47,73.876,05:00,108,19,80.2,Severe,Rain,No,Yes,Pune Festival,High,96.24,80.2
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,02:00,115,15,80,Severe,Rain,Yes,No,Pune Festival,High,96,80
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,13:00,315,15,80,Severe,Clear,Yes,No,Local Fair,Low,96,80
01-01-2025,Wednesday,No,Yes,Wakad,18.568,73.912,22:00,117,20,80,Severe,Clear,No,Yes,Cricket Match,High,96,80
01-01-2025,Wednesday,No,Yes,Hinjewadi,18.5933,73.7388,04:00,186,21,79.8,High,Fog,Yes,Yes,Cricket Match,High,95.76,79.8
01-01-2025,Wednesday,No,Yes,Pashan,18.54,73.79,22:00,236,16,79.8,High,Fog,No,Yes,Local Fair,Low,95.76,79.8
01-01-2025,Wednesday,No,Yes,Shivaji Nagar,18.53,73.84,08:00,156,21,79.8,High,Clear,No,No,Cricket Match,High,95.76,79.8
01-01-2025,Wednesday,No,Yes,Pashan,18.54,73.79,00:00,333,17,79.6,High,Fog,No,No,None,None,95.52,79.6
01-01-2025,Wednesday,No,Yes,Yerwada,18.55,73.89,09:00,164,17,79.6,High,Cloudy,Yes,Yes,Cricket Match,High,95.52,79.6
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,18:00,300,18,79.4,High,Clear,Yes,No,Pune Festival,High,95.28,79.4
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,09:00,225,20,79,High,Cloudy,No,Yes,Cricket Match,High,94.8,79
01-01-2025,Wednesday,No,Yes,Pashan,18.54,73.79,14:00,190,21,78.8,High,Rain,Yes,Yes,College Fest,Medium,94.56,78.8
01-01-2025,Wednesday,No,Yes,Shivaji Nagar,18.53,73.84,19:00,280,21,78.8,High,Clear,No,No,None,None,94.56,78.8
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,17:00,308,17,78.6,High,Rain,Yes,No,None,None,94.32,78.6
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,18:00,168,17,78.6,High,Rain,No,No,None,None,94.32,78.6
01-01-2025,Wednesday,No,Yes,Chinchwad,18.6298,73.7997,16:00,219,20,78,High,Cloudy,Yes,No,Pune Festival,High,93.6,78
01-01-2025,Wednesday,No,Yes,Pimpri,18.628,73.7997,06:00,322,20,78,High,Fog,No,No,Pune Festival,High,93.6,78
01-01-2025,Wednesday,No,Yes,Wakad,18.568,73.912,16:00,225,16,77.8,High,Clear,Yes,No,Cricket Match,High,93.36,77.8
01-01-2025,Wednesday,No,Yes,Wakad,18.568,73.912,23:00,265,16,77.8,High,Cloudy,Yes,Yes,Pune Festival,High,93.36,77.8
01-01-2025,Wednesday,No,Yes,Bibwewadi,18.47,73.876,07:00,237,17,77.6,High,Rain,Yes,No,None,None,93.12,77.6
01-01-2025,Wednesday,No,Yes,Bibwewadi,18.47,73.876,08:00,88,22,77.6,High,Cloudy,No,No,Pune Festival,High,93.12,77.6
01-01-2025,Wednesday,No,Yes,Swargate,18.5018,73.8636,03:00,278,22,77.6,High,Clear,No,No,None,None,93.12,77.6
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,10:00,177,23,77.4,High,Cloudy,No,No,Pune Festival,High,92.88,77.4
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,21:00,119,20,77,High,Cloudy,Yes,Yes,College Fest,Medium,92.4,77
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,16:00,84,16,76.8,High,Clear,No,No,College Fest,Medium,92.16,76.8
01-01-2025,Wednesday,No,Yes,Shivaji Nagar,18.53,73.84,01:00,211,23,76.4,High,Fog,Yes,No,Cricket Match,High,91.68,76.4
01-01-2025,Wednesday,No,Yes,Yerwada,18.55,73.89,13:00,274,23,76.4,High,Rain,Yes,Yes,College Fest,Medium,91.68,76.4
01-01-2025,Wednesday,No,Yes,Baner,18.559,73.7868,01:00,227,20,76,High,Clear,No,No,Local Fair,Low,91.2,76
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,06:00,224,16,75.8,High,Fog,No,Yes,College Fest,Medium,90.96,75.8
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,10:00,108,16,75.8,High,Clear,Yes,Yes,Cricket Match,High,90.96,75.8
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,22:00,308,23,75.4,High,Rain,No,No,Cricket Match,High,90.48,75.4
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,17:00,304,18,75.4,High,Rain,Yes,Yes,Pune Festival,High,90.48,75.4
01-01-2025,Wednesday,No,Yes,Shivaji Nagar,18.53,73.84,12:00,81,18,75.4,High,Clear,Yes,No,Local Fair,Low,90.48,75.4
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,20:00,196,19,75.2,High,Fog,No,Yes,None,None,90.24,75.2
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,05:00,151,24,75.2,High,Rain,Yes,Yes,Pune Festival,High,90.24,75.2
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,17:00,202,24,75.2,High,Clear,No,No,Local Fair,Low,90.24,75.2
01-01-2025,Wednesday,No,Yes,Pimpri,18.628,73.7997,11:00,318,19,75.2,High,Rain,Yes,Yes,Pune Festival,High,90.24,75.2
01-01-2025,Wednesday,No,Yes,Shivaji Nagar,18.53,73.84,09:00,173,19,75.2,High,Fog,No,No,Pune Festival,High,90.24,75.2
01-01-2025,Wednesday,No,Yes,Hinjewadi,18.5933,73.7388,03:00,229,25,75,High,Rain,No,Yes,Cricket Match,High,90,75
01-01-2025,Wednesday,No,Yes,Wakad,18.568,73.912,09:00,269,20,75,High,Fog,Yes,Yes,None,None,90,75
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,12:00,172,21,74.8,High,Cloudy,Yes,No,Pune Festival,High,89.76,74.8
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,12:00,331,18,74.4,High,Rain,No,Yes,Pune Festival,High,89.28,74.4
01-01-2025,Wednesday,No,Yes,Bibwewadi,18.47,73.876,15:00,222,24,74.2,High,Fog,Yes,No,Cricket Match,High,89.04,74.2
01-01-2025,Wednesday,No,Yes,Chinchwad,18.6298,73.7997,10:00,222,24,74.2,High,Clear,No,Yes,College Fest,Medium,89.04,74.2
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,10:00,312,24,74.2,High,Rain,No,Yes,Cricket Match,High,89.04,74.2
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,12:00,110,20,74,High,Fog,Yes,Yes,College Fest,Medium,88.8,74
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,02:00,137,20,74,High,Rain,No,Yes,College Fest,Medium,88.8,74
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,06:00,168,21,73.8,High,Rain,No,Yes,Pune Festival,High,88.56,73.8
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,20:00,87,26,73.8,High,Clear,Yes,Yes,None,None,88.56,73.8
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,14:00,283,22,73.6,High,Cloudy,No,Yes,None,None,88.32,73.6
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,09:00,341,22,73.6,High,Rain,Yes,No,College Fest,Medium,88.32,73.6
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,08:00,222,22,73.6,High,Fog,Yes,No,None,None,88.32,73.6
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,17:00,148,18,73.4,High,Rain,Yes,Yes,Local Fair,Low,88.08,73.4
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,08:00,95,23,73.4,High,Cloudy,Yes,No,Pune Festival,High,88.08,73.4
01-01-2025,Wednesday,No,Yes,Nigdi,18.65,73.77,10:00,249,23,73.4,High,Clear,No,No,College Fest,Medium,88.08,73.4
01-01-2025,Wednesday,No,Yes,Pimpri,18.628,73.7997,17:00,269,23,73.4,High,Clear,Yes,Yes,None,None,88.08,73.4
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,06:00,317,19,73.2,High,Fog,No,No,None,None,87.84,73.2
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,11:00,322,24,73.2,High,Clear,No,Yes,Local Fair,Low,87.84,73.2
01-01-2025,Wednesday,No,Yes,Swargate,18.5018,73.8636,21:00,112,19,73.2,High,Cloudy,No,Yes,Cricket Match,High,87.84,73.2
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,00:00,343,21,72.8,High,Rain,Yes,No,Cricket Match,High,87.36,72.8
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,15:00,240,26,72.8,High,Fog,No,No,College Fest,Medium,87.36,72.8
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,06:00,252,24,72.2,High,Fog,Yes,Yes,Cricket Match,High,86.64,72.2
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,08:00,270,24,72.2,High,Fog,No,Yes,Pune Festival,High,86.64,72.2
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,20:00,197,19,72.2,High,Fog,No,No,College Fest,Medium,86.64,72.2
01-01-2025,Wednesday,No,Yes,Baner,18.559,73.7868,09:00,123,19,72.2,High,Clear,No,No,Cricket Match,High,86.64,72.2
01-01-2025,Wednesday,No,Yes,Chinchwad,18.6298,73.7997,06:00,329,24,72.2,High,Cloudy,Yes,No,College Fest,Medium,86.64,72.2
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,11:00,194,19,72.2,High,Rain,Yes,No,Local Fair,Low,86.64,72.2
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,11:00,205,19,72.2,High,Clear,Yes,No,Cricket Match,High,86.64,72.2
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,09:00,173,24,72.2,High,Clear,Yes,No,None,None,86.64,72.2
01-01-2025,Wednesday,No,Yes,Pashan,18.54,73.79,15:00,214,25,72,High,Rain,No,No,Local Fair,Low,86.4,72
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,08:00,291,21,71.8,High,Fog,Yes,No,College Fest,Medium,86.16,71.8
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,07:00,128,26,71.8,High,Rain,No,No,Local Fair,Low,86.16,71.8
01-01-2025,Wednesday,No,Yes,Wakad,18.568,73.912,10:00,339,26,71.8,High,Fog,No,No,College Fest,Medium,86.16,71.8
01-01-2025,Wednesday,No,Yes,Baner,18.559,73.7868,20:00,311,27,71.6,High,Clear,No,No,Cricket Match,High,85.92,71.6
01-01-2025,Wednesday,No,Yes,Swargate,18.5018,73.8636,09:00,152,22,71.6,High,Rain,Yes,Yes,Local Fair,Low,85.92,71.6
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,21:00,190,20,71,High,Fog,No,Yes,Local Fair,Low,85.2,71
01-01-2025,Wednesday,No,Yes,Chinchwad,18.6298,73.7997,08:00,212,26,70.8,High,Rain,No,No,Pune Festival,High,84.96,70.8
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,08:00,325,26,70.8,High,Clear,Yes,No,College Fest,Medium,84.96,70.8
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,03:00,275,21,70.8,High,Fog,Yes,Yes,Cricket Match,High,84.96,70.8
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,01:00,330,22,70.6,High,Rain,Yes,No,Pune Festival,High,84.72,70.6
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,08:00,275,27,70.6,High,Clear,Yes,No,College Fest,Medium,84.72,70.6
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,06:00,307,23,70.4,High,Rain,Yes,No,Cricket Match,High,84.48,70.4
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,16:00,162,28,70.4,High,Clear,Yes,No,Cricket Match,High,84.48,70.4
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,00:00,272,28,70.4,High,Fog,No,Yes,Cricket Match,High,84.48,70.4
01-01-2025,Wednesday,No,Yes,Wakad,18.568,73.912,20:00,298,29,70.2,High,Fog,Yes,No,Local Fair,Low,84.24,70.2
01-01-2025,Wednesday,No,Yes,Swargate,18.5018,73.8636,15:00,148,21,69.8,High,Rain,No,Yes,College Fest,Medium,83.76,69.8
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,07:00,350,27,69.6,High,Rain,No,Yes,None,None,83.52,69.6
01-01-2025,Wednesday,No,Yes,Bibwewadi,18.47,73.876,21:00,245,23,69.4,High,Cloudy,No,Yes,Pune Festival,High,83.28,69.4
01-01-2025,Wednesday,No,Yes,Pashan,18.54,73.79,21:00,309,23,69.4,High,Rain,No,No,Pune Festival,High,83.28,69.4
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,14:00,151,28,69.4,High,Clear,Yes,Yes,Cricket Match,High,83.28,69.4
01-01-2025,Wednesday,No,Yes,Bibwewadi,18.47,73.876,04:00,236,29,69.2,High,Clear,Yes,Yes,College Fest,Medium,83.04,69.2
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,02:00,307,24,69.2,High,Clear,Yes,No,Local Fair,Low,83.04,69.2
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,09:00,319,24,69.2,High,Clear,Yes,No,Local Fair,Low,83.04,69.2
01-01-2025,Wednesday,No,Yes,Yerwada,18.55,73.89,07:00,89,29,69.2,High,Clear,No,Yes,College Fest,Medium,83.04,69.2
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,11:00,96,30,69,High,Clear,Yes,Yes,None,None,82.8,69
01-01-2025,Wednesday,No,Yes,Pimpri,18.628,73.7997,04:00,274,25,69,High,Fog,No,No,Pune Festival,High,82.8,69
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,01:00,339,25,69,High,Cloudy,Yes,No,None,None,82.8,69
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,19:00,156,23,68.4,High,Clear,Yes,Yes,Cricket Match,High,82.08,68.4
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,01:00,123,28,68.4,High,Rain,No,No,Pune Festival,High,82.08,68.4
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,04:00,148,23,68.4,High,Cloudy,Yes,No,Local Fair,Low,82.08,68.4
01-01-2025,Wednesday,No,Yes,Pimpri,18.628,73.7997,03:00,293,28,68.4,High,Clear,Yes,No,Cricket Match,High,82.08,68.4
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,19:00,190,23,68.4,High,Fog,No,No,Pune Festival,High,82.08,68.4
01-01-2025,Wednesday,No,Yes,Swargate,18.5018,73.8636,06:00,93,29,68.2,High,Clear,Yes,Yes,Local Fair,Low,81.84,68.2
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,18:00,128,29,68.2,High,Rain,Yes,Yes,College Fest,Medium,81.84,68.2
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,21:00,275,30,68,High,Rain,Yes,No,Cricket Match,High,81.6,68
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,13:00,171,25,68,High,Cloudy,No,No,Local Fair,Low,81.6,68
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,22:00,154,26,67.8,High,Fog,Yes,Yes,Pune Festival,High,81.36,67.8
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,18:00,82,23,67.4,High,Clear,Yes,No,College Fest,Medium,80.88,67.4
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,19:00,97,23,67.4,High,Cloudy,Yes,No,Local Fair,Low,80.88,67.4
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,20:00,205,23,67.4,High,Cloudy,Yes,Yes,College Fest,Medium,80.88,67.4
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,16:00,137,28,67.4,High,Cloudy,Yes,Yes,Pune Festival,High,80.88,67.4
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,02:00,280,30,67,High,Cloudy,Yes,No,Local Fair,Low,80.4,67
01-01-2025,Wednesday,No,Yes,Chinchwad,18.6298,73.7997,07:00,161,30,67,High,Clear,No,Yes,College Fest,Medium,80.4,67
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,04:00,273,25,67,High,Fog,No,No,Local Fair,Low,80.4,67
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,14:00,322,30,67,High,Fog,Yes,Yes,Local Fair,Low,80.4,67
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,21:00,102,25,67,High,Rain,No,No,Pune Festival,High,80.4,67
01-01-2025,Wednesday,No,Yes,Baner,18.559,73.7868,17:00,287,26,66.8,High,Clear,No,Yes,Cricket Match,High,80.16,66.8
01-01-2025,Wednesday,No,Yes,Hadapsar,18.5089,73.926,04:00,324,31,66.8,High,Clear,Yes,No,Pune Festival,High,80.16,66.8
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,07:00,108,31,66.8,High,Cloudy,No,Yes,Cricket Match,High,80.16,66.8
01-01-2025,Wednesday,No,Yes,Kharadi,18.5511,73.9352,22:00,183,31,66.8,High,Fog,No,Yes,Cricket Match,High,80.16,66.8
01-01-2025,Wednesday,No,Yes,Pimpri,18.628,73.7997,08:00,196,26,66.8,High,Cloudy,Yes,Yes,College Fest,Medium,80.16,66.8
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,23:00,276,26,66.8,High,Clear,Yes,No,College Fest,Medium,80.16,66.8
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,05:00,163,27,66.6,High,Cloudy,Yes,Yes,Local Fair,Low,79.92,66.6
01-01-2025,Wednesday,No,Yes,Baner,18.559,73.7868,00:00,186,28,66.4,High,Cloudy,No,Yes,Local Fair,Low,79.68,66.4
01-01-2025,Wednesday,No,Yes,Nigdi,18.65,73.77,02:00,90,29,66.2,High,Clear,Yes,No,Cricket Match,High,79.44,66.2
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,06:00,262,24,66.2,High,Rain,No,Yes,Local Fair,Low,79.44,66.2
01-01-2025,Wednesday,No,Yes,Kothrud,18.5074,73.8077,21:00,232,25,66,High,Cloudy,No,Yes,None,None,79.2,66
01-01-2025,Wednesday,No,Yes,Nigdi,18.65,73.77,03:00,217,30,66,High,Rain,No,No,None,None,79.2,66
01-01-2025,Wednesday,No,Yes,Baner,18.559,73.7868,15:00,341,26,65.8,High,Clear,Yes,No,Pune Festival,High,78.96,65.8
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,12:00,218,26,65.8,High,Cloudy,No,Yes,Cricket Match,High,78.96,65.8
01-01-2025,Wednesday,No,Yes,Pimpri,18.628,73.7997,21:00,310,26,65.8,High,Cloudy,Yes,No,Cricket Match,High,78.96,65.8
01-01-2025,Wednesday,No,Yes,Shivaji Nagar,18.53,73.84,17:00,332,27,65.6,High,Fog,Yes,Yes,Pune Festival,High,78.72,65.6
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,10:00,262,33,65.4,High,Rain,Yes,Yes,Pune Festival,High,78.48,65.4
01-01-2025,Wednesday,No,Yes,Swargate,18.5018,73.8636,20:00,300,29,65.2,High,Clear,No,No,College Fest,Medium,78.24,65.2
01-01-2025,Wednesday,No,Yes,Hinjewadi,18.5933,73.7388,06:00,126,25,65,High,Rain,No,Yes,Local Fair,Low,78,65
01-01-2025,Wednesday,No,Yes,Yerwada,18.55,73.89,00:00,183,30,65,High,Rain,Yes,No,College Fest,Medium,78,65
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,20:00,218,32,64.6,High,Clear,Yes,Yes,Cricket Match,High,77.52,64.6
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,08:00,244,32,64.6,High,Clear,Yes,Yes,Pune Festival,High,77.52,64.6
01-01-2025,Wednesday,No,Yes,Bavdhan,18.515,73.78,17:00,246,33,64.4,High,Fog,No,No,None,None,77.28,64.4
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,18:00,144,28,64.4,High,Clear,No,No,None,None,77.28,64.4
01-01-2025,Wednesday,No,Yes,Warje,18.485,73.805,13:00,83,33,64.4,High,Cloudy,No,No,Local Fair,Low,77.28,64.4
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,07:00,169,31,63.8,High,Clear,Yes,No,Local Fair,Low,76.56,63.8
01-01-2025,Wednesday,No,Yes,Karve Nagar,18.494,73.82,13:00,194,26,63.8,High,Rain,No,Yes,Pune Festival,High,76.56,63.8
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,09:00,150,26,63.8,High,Clear,Yes,No,College Fest,Medium,76.56,63.8
01-01-2025,Wednesday,No,Yes,Katraj,18.455,73.867,20:00,305,31,63.8,High,Rain,No,No,None,None,76.56,63.8
01-01-2025,Wednesday,No,Yes,Baner,18.559,73.7868,07:00,256,27,63.6,High,Fog,Yes,No,None,None,76.32,63.6
01-01-2025,Wednesday,No,Yes,Nigdi,18.65,73.77,04:00,170,27,63.6,High,Fog,Yes,No,None,None,76.32,63.6
01-01-2025,Wednesday,No,Yes,Bibwewadi,18.47,73.876,22:00,87,28,63.4,High,Rain,No,No,None,None,76.08,63.4
01-01-2025,Wednesday,No,Yes,Pimpri,18.628,73.7997,09:00,186,28,63.4,High,Clear,No,No,College Fest,Medium,76.08,63.4
01-01-2025,Wednesday,No,Yes,Viman Nagar,18.5679,73.9143,19:00,248,33,63.4,High,Clear,Yes,Yes,Local Fair,Low,76.08,63.4
01-01-2025,Wednesday,No,Yes,Wakad,18.568,73.912,17:00,114,28,63.4,High,Rain,No,Yes,None,None,76.08,63.4
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,01:00,343,34,63.2,High,Fog,Yes,Yes,College Fest,Medium,75.84,63.2
01-01-2025,Wednesday,No,Yes,Aundh,18.5603,73.8074,23:00,336,34,63.2,High,Clear,No,No,Pune Festival,High,75.84,63.2
